"collection_no","record_type","authorization","release_on","formation","lng","lat","collection_name","container_no","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"121243","col","","","Tendaguru","39.225620","-9.703108","Tendaguru quarry M 9","","British Expedition, M 9a","1","Tithonian","","149.2","143.1","38687"
"121245","col","","","Tendaguru","39.225620","-9.703108","Tendaguru quarry M 11","","British Expedition","1","Tithonian","","149.2","143.1","38687"
"121246","col","","","Tendaguru","39.225620","-9.703108","Tendaguru quarry M 12","","British Expedition","1","Tithonian","","149.2","143.1","38687"
"121247","col","","","Tendaguru","39.223877","-9.711950","Tendaguru quarry M 13","","British Expedition","1","Tithonian","","149.2","143.1","38687"
"121248","col","","","Tendaguru","39.238705","-9.700967","Tendaguru quarry M 19","","British Expedition, + M 2","1","Tithonian","","149.2","143.1","38702"
"121249","col","","","Tendaguru","39.227566","-9.712549","Tendaguru quarry M 18","","British Expedition","1","Tithonian","","149.2","143.1","38702"
"121250","col","","","Tendaguru","39.225620","-9.703108","Tendaguru quarry M 21","","British Expedition","1","Tithonian","","149.2","143.1","38702"
"121252","col","","","Tendaguru","39.241493","-9.704229","Tendaguru quarry M 22","","British Expedition","1","Tithonian","","149.2","143.1","38702"
"121258","col","","","Tendaguru","39.220966","-9.671861","Tendaguru quarry M 23","","British Expedition","1","Late Kimmeridgian","Tithonian","152.21","143.1","38703"
"121264","col","","","Dinosaur Beds","34.025002","-10.283333","Mwaka Syunguti, Site A","","Mwakasyunguti, British Expedition","1","Aptian","","121.4","113.2","38703"
"121265","col","","","Dinosaur Beds","34.025002","-10.283333","Mwaka Syunguti, Site B","","Mwakasyunguti, British Expedition","1","Aptian","","121.4","113.2","38703"
"121267","col","","","Dinosaur Beds","34.025002","-10.283333","Mwaka Syunguti, Site C","","Mwakasyunguti, British Expedition","1","Aptian","","121.4","113.2","38703"
"121268","col","","","Dinosaur Beds","34.025002","-10.283333","Mwaka Syunguti, Site D","","Mwakasyunguti, British Expedition","1","Aptian","","121.4","113.2","38703"
"121305","col","","","Moenave","-113.556946","37.092499","St. George Dinosaur Discovery Tracksite (Top Surface)","","Johnson farm, TS, SGDS","4","Hettangian","","201.4","199.5","38719"
"121306","col","","","Green River","-109.553001","41.558998","Petrified fish cut (Richardson Coll)","","Railroad fish cut","1","Bridgerian","","51.1","45.9","5132"
"121311","col","","","Moenave","-113.556946","37.092499","St. George Dinosaur Discovery Site (Split Tracklayer)","","Johnson farm, SGDS, STL, SPL","2","Hettangian","","201.4","199.5","38719"
"121320","col","","","Moenave","-113.535660","37.101727","Stewart-Walker Tracksites, St. George","","BBDC, DS, DS-W, WCSD, SGDS, Darcy Stewart sites, Washington County School District","3","Hettangian","","201.4","199.5","38721"
"121321","col","","","Moenave","-113.538826","37.101635","Mall Drive tracksites, St. George","","LDS tracksite, SGDS","2","Hettangian","","201.4","199.5","51460"
"121323","col","","","Moenave","-113.536224","37.100914","Walt's Quarry 1 & 2, St. George, tracksite","","WQ1, WQ2, SGDS","1","Rhaetian","Hettangian","205.7","199.5","38719"
"121580","col","","","Ojo Alamo","-108.066399","36.343899","SMP loc. 389b, Willow Wash","","","1","Late Maastrichtian","","72.2","66","38769"
"121581","col","","","Ojo Alamo","-108.066399","36.343899","SMP loc. 884b","","","1","Late Maastrichtian","","72.2","66","38769"
"122031","col","","","Puerto Madryn","-63.824722","-42.826389","La Pastosa (Puerto Madryn Formation)","","Peninsula Valdes","3","Tortonian","","11.63","7.246","38839"
"122076","col","","","","-80.777222","28.857500","Castle Windy","","Vo 112","1","Holocene","","0.0117","0","38864"
"122077","col","","","","-81.055832","29.285833","Ormond Beach","","Vo 83, Cotton Midden","1","Holocene","","0.0117","0","38865"
"122078","col","","","Camarillas","-1.885278","40.224445","Pié Pajarón","","Pio Pajarón","3","Early Barremian","","125.77","121.4","38868"
"122079","col","","","Puerto Madryn","-63.683334","-42.783333","Rincon Chico (Puerto Madryn Formation) Peninsula Valdes","","Marine cliffs between Punta Delgada & Punta Lobo (3/5 km W of Punta Delgada)","2","Tortonian","","11.63","7.246","38839"
"122099","col","","","","-53.174168","49.753334","Funk Island","","","1","Holocene","","0.0117","0","38877"
"122100","col","","","","-2.429444","59.385277","Knap of Howar","","","2","Holocene","","0.0117","0","38878"
"122101","col","","","","-2.442778","59.303890","Tofts Ness","","","2","Holocene","","0.0117","0","38878"
"122102","col","","","","-2.619167","59.239166","Pool","","","1","Holocene","","0.0117","0","38878"
"122103","col","","","","-2.953333","59.276112","Tuquoy","","","1","Holocene","","0.0117","0","38878"
"122104","col","","","","-3.331389","59.136112","Buckquoy","","","2","Holocene","","0.0117","0","38878"
"122105","col","","","","-3.329167","59.115555","Seevar Howe","","","1","Holocene","","0.0117","0","38878"
"122106","col","","","","-2.799167","58.908333","Newark Bay","","","1","Holocene","","0.0117","0","38878"
"122107","col","","","","-3.668056","58.606110","Crosskirk","","","2","Holocene","","0.0117","0","38878"
"122110","col","","","","-7.033889","58.246387","Cnip","","","2","Holocene","","0.0117","0","38878"
"122111","col","","","","-7.267500","57.671391","The Udal","","","2","Holocene","","0.0117","0","38878"
"122112","col","","","","-6.255833","56.003613","Oronsay","","","1","Holocene","","0.0117","0","38878"
"122113","col","","","","-4.656944","54.076111","Castle Rushen","","","1","Holocene","","0.0117","0","38878"
"122114","col","","","","-6.303333","49.930557","Halangy Down","","","1","Holocene","","0.0117","0","38878"
"122115","col","","","","4.630556","52.451942","Velsen","","","1","Holocene","","0.0117","0","38884"
"122249","col","","","","-45.333332","60.516666","Unartoq","","","1","Holocene","","0.0117","0","38921"
"122250","col","","","","-49.750000","62.016666","Gammel Frederikshab","","","1","Holocene","","0.0117","0","38921"
"122251","col","","","","-52.049999","64.099998","Kangeq","","","1","Holocene","","0.0117","0","38921"
"122252","col","","","","-52.099998","64.116669","Itivsalik","","","1","Holocene","","0.0117","0","38921"
"122253","col","","","","-52.099998","64.116669","Igdlorpait","","","1","Holocene","","0.0117","0","38921"
"122254","col","","","","-52.099998","64.133331","Habets Koloni","","","1","Holocene","","0.0117","0","38921"
"122255","col","","","","-50.400002","64.383331","Itivnera","","","1","Holocene","","0.0117","0","38921"
"122256","col","","","","-53.383331","65.866669","Umanat","","","1","Holocene","","0.0117","0","38921"
"122257","col","","","","-53.366669","65.866669","Igdlutalik","","","1","Holocene","","0.0117","0","38921"
"122258","col","","","","-53.233334","65.866669","Utorqait","","","1","Holocene","","0.0117","0","38921"
"122259","col","","","","-51.083332","68.599998","Qeqertasussuk","","","1","Holocene","","0.0117","0","38921"
"122260","col","","","","-37.707222","65.604446","Ammassalik","","Angmagaslik","1","Holocene","","0.0117","0","38921"
"122261","col","","","","-45.243332","60.141945","Nanortalik","","","1","Holocene","","0.0117","0","38921"
"122262","col","","","","-49.666668","61.994446","Paamiut","","","1","Holocene","","0.0117","0","38921"
"122263","col","","","","-51.721390","64.183609","Nuuk","","","1","Holocene","","0.0117","0","38921"
"122264","col","","","","-52.900002","65.416664","Maniitsoq","","","1","Holocene","","0.0117","0","38921"
"122265","col","","","","-53.672222","66.938889","Sisimiut","","","1","Holocene","","0.0117","0","38921"
"122266","col","","","","-50.711945","67.010002","Sondre Stromfjord Air Base","","Kangerlussuaq Airport","1","Holocene","","0.0117","0","38921"
"122267","col","","","","-53.553055","69.243614","Qeqertarsuaq","","Godhavn","1","Holocene","","0.0117","0","38921"
"122268","col","","","","-51.099998","69.216667","Illulissat","","Jakobshavn","1","Holocene","","0.0117","0","38921"
"122269","col","","","","-22.549999","63.900002","Tjernagata 4","","","1","Holocene","","0.0117","0","38921"
"122270","col","","","","-64.219444","60.108334","Avayalik 1","","","5","Holocene","","0.0117","0","38922"
"122303","col","","","","-81.229721","29.701111","Summer Haven Midden","","SJ 46","5","Holocene","","0.0117","0","38926"
"122304","col","","","","-6.925833","33.952499","El Harhoura 2","","","1","Holocene","","0.0117","0","38927"
"122305","col","","","","-64.661110","32.344444","Green Island","","","2","Middle Pleistocene","","0.774","0.129","38929"
"122306","col","","","Puerto de Mazarron","-1.246389","37.577221","El Alamillo","","","1","Pliocene","","5.333","2.58","38930"
"122307","col","","","","-8.879444","37.952499","Figueira Brava","","","1","Pleistocene","","2.58","0.0117","38931"
"122308","col","","","","-2.188000","49.174999","Cotte de St Brelade","","","1","Late Pleistocene","","0.129","0.0117","38931"
"122309","col","","","","-3.876667","36.744999","Cueva de Nerja","","Narja Cave","10","Late Pleistocene","","0.129","0.0117","38931"
"122310","col","","","","18.515833","40.068611","Romanelli","","","1","Late Pleistocene","","0.129","0.0117","39013"
"122311","col","","","","8.537500","44.337776","Arene Candide","","","7","Late Pleistocene","","0.129","0.0117","38931"
"122312","col","","","","-3.174444","47.339722","Teviec","","","1","Pleistocene","","2.58","0.0117","38931"
"122350","col","","","Peace River","-81.935555","27.745001","American Agricultural Chemical Company, Brodkorb Locality 1","","","7","Tortonian","","11.63","7.246","38945"
"122351","col","","","Peace River","-81.926392","27.738056","American Agricultural Chemical Company, Brodkorb Locality 2","","","16","Tortonian","","11.63","7.246","38945"
"122362","col","","","Westbury","-2.630000","51.599998","Aust Cliff bone bed (Ord coll, Bristol)","","","1","Rhaetian","","205.7","201.4","24888"
"122438","col","","","","-70.673615","41.758057","East Wareham","","","1","Holocene","","0.0117","0","39101"
"122439","col","","","","-68.951668","44.185001","Goose Island","","","1","Holocene","","0.0117","0","39101"
"122440","col","","","","-70.820328","42.820328","Eagle Hill","","","2","Holocene","","0.0117","0","39101"
"122441","col","","","","-70.841110","42.679169","Ipswich","","","1","Holocene","","0.0117","0","39101"
"122442","col","","","","-70.813332","42.812500","Plum Island","","","1","Holocene","","0.0117","0","39101"
"122443","col","","","","-68.319168","44.491112","Lamoine","","","1","Holocene","","0.0117","0","39101"
"122444","col","","","","-68.166115","44.484444","Soward Island","","","1","Holocene","","0.0117","0","39101"
"122445","col","","","","-68.121109","44.487778","Ashville","","","1","Holocene","","0.0117","0","39101"
"122446","col","","","","-68.177780","44.473057","Sorrento","","","1","Holocene","","0.0117","0","39101"
"122447","col","","","","-68.043610","44.474445","Gouldsborough","","Gouldsboro","1","Holocene","","0.0117","0","39101"
"122448","col","","","","-68.083054","44.394722","Winter Harbor","","","1","Holocene","","0.0117","0","39101"
"122449","col","","","","-68.155556","44.463333","Calf Island","","","1","Holocene","","0.0117","0","39101"
"122450","col","","","","-68.317780","44.330555","Mount Desert Island","","","3","Holocene","","0.0117","0","58111"
"122451","col","","","","-66.722221","44.697777","Nantucket Island, Grand Manan","","","1","Holocene","","0.0117","0","39101"
"122452","col","","","","-61.748333","47.424999","Bird Rocks, Magdalen Islands","","","1","Holocene","","0.0117","0","39101"
"122453","col","","","","-55.332222","51.942780","Belle Isle Straits","","","1","Holocene","","0.0117","0","39101"
"122621","col","","","","-22.959723","63.740555","Eldey Rock","","","1","Holocene","","0.0117","0","39101"
"122625","col","","","","-69.990829","43.837223","White Island","","","1","Holocene","","0.0117","0","39101"
"122626","col","","","","-69.891113","43.751667","Flag Island","","","1","Holocene","","0.0117","0","39101"
"122630","col","","","","9.193611","56.811943","Ertbolle","","","1","Holocene","","0.0117","0","39101"
"122631","col","","","","10.107778","56.939720","Gudumlund","","","1","Holocene","","0.0117","0","39101"
"122632","col","","","","10.112778","56.721390","Havno","","","1","Holocene","","0.0117","0","39101"
"122633","col","","","","10.658333","56.501667","Mejlgaard","","","1","Holocene","","0.0117","0","39101"
"122634","col","","","","11.103889","55.735558","Klenteso","","","1","Holocene","","0.0117","0","39101"
"122635","col","","","","11.596667","55.857777","Solager","","","1","Holocene","","0.0117","0","39101"
"122636","col","","","","12.032778","55.992779","Karsemose","","","1","Holocene","","0.0117","0","39101"
"122637","col","","","","12.251667","55.896111","Havelse","","","1","Holocene","","0.0117","0","39101"
"122638","col","","","","12.508056","55.931946","Nivaa","","","1","Holocene","","0.0117","0","39101"
"122639","col","","","","11.233333","58.658333","Ottero Island","","Otteron","1","Holocene","","0.0117","0","39101"
"122640","col","","","","11.256111","58.692223","Greby","","","1","Holocene","","0.0117","0","39101"
"122641","col","","","","11.441944","58.215279","Rotekarrslid","","","1","Holocene","","0.0117","0","39101"
"122657","col","","","Spilsby Sandstone","-0.330182","53.486115","Top Barn Quarry, Nettleton","","","1","Late Tithonian","Early Berriasian","145.06","141","39108"
"122664","col","","","Tokoro","144.066666","43.966667","Abashiri","","","1","Chattian","","27.3","23.04","39109"
"122665","col","","","","5.733056","58.970001","Stavanger","","Viste, Kvaernvig","1","Holocene","","0.0117","0","39101"
"122666","col","","","","5.345278","60.263058","Fana","","","1","Holocene","","0.0117","0","39101"
"122667","col","","","","6.403056","62.595833","Mien","","","1","Holocene","","0.0117","0","39101"
"122668","col","","","","7.728056","63.110279","Kristiansund","","","1","Holocene","","0.0117","0","39101"
"122669","col","","","","8.700556","63.543610","Hitteren","","Hitra","1","Holocene","","0.0117","0","39101"
"122671","col","","","","10.765278","64.456947","Flatanger","","","1","Holocene","","0.0117","0","39101"
