"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"93748","93748","txn","","","Pica mourerae","","93748","species","Pica mourerae","93747","19817","extinct","2"
"129838","365953","txn","","","Pica pica","","129838","species","Pica pica","93747","12782","extant","18"
"370945","370945","txn","","","Palaeocorax","","370945","genus","Palaeocorax","39445","65508","extinct","0"
"370947","370947","txn","","","Palaeocorax antipodum","","370947","species","Palaeocorax antipodum","370945","65508","extinct","0"
"129833","129833","txn","","","Perisoreus","","129833","genus","Perisoreus","39445","27720","extant","9"
"129834","129835","txn","","","Perisoreus canadensis","","129834","species","Perisoreus canadensis","129833","27720","extant","5"
"373062","373063","txn","","","Perisoreus infaustus","","373062","species","Perisoreus infaustus","129833","12782","extant","4"
"369404","369404","txn","","","Gymnorhinus","","369404","genus","Gymnorhinus","39445","65172","extant","3"
"369405","369405","txn","","","Gymnorhinus cyanocephalus","","369405","species","Gymnorhinus cyanocephalus","369404","65172","extant","3"
"39446","39446","txn","","","Corvus","","39446","genus","Corvus","39445","12782","extant","270"
"372365","372365","txn","","","Corvus leucognaphalus","","372365","species","Corvus leucognaphalus","39446","65172","extant","3"
"372350","372350","txn","","","Corvus nasicus","","372350","species","Corvus nasicus","39446","65172","extant","9"
"290146","290146","txn","","","Corvus wetmorei","subjective synonym of","372350","species","Corvus nasicus","39446","50474","extant","9"
"417480","417480","txn","","","Corvus moneduloides","","417480","species","Corvus moneduloides","39446","72122","extant","0"
"370611","370611","txn","","","Corvus macrorhynchos","","370611","species","Corvus macrorhynchos","39446","65172","extant","7"
"370942","370942","txn","","","Corvus hungaricus","","370942","species","Corvus hungaricus","39446","65508","extinct","2"
"143851","143851","txn","","","Corvus moriorum","","143851","species","Corvus moriorum","39446","29521","extinct","10"
"83494","83494","txn","","","Corvus ossifragus","","83494","species","Corvus ossifragus","39446","18140","extant","9"
"370943","370943","txn","","","Corvus shufeldti","","370943","species","Corvus shufeldti","39446","65508","extinct","0"
"414902","414902","txn","","","Corvus cryptoleucus","","414902","species","Corvus cryptoleucus","39446","31036","extant","1"
"210442","336371","txn","","","Corvus pliocaenus","","210442","species","Corvus pliocaenus","39446","38944","extinct","16"
"370941","370941","txn","","","Corvus praecorax","","370941","species","Corvus praecorax","39446","65508","extinct","0"
"369319","369319","txn","","","Corvus monedula","","369319","species","Corvus monedula","39446","12782","extant","38"
"289720","289720","txn","","","Corvus brachyrhynchos","","289720","species","Corvus brachyrhynchos","39446","50336","extant","37"
"414903","414903","txn","","","Corvus caurinus","subjective synonym of","289720","species","Corvus brachyrhynchos","39446","31036","extant","37"
"380418","380418","txn","","","Corvus albicollis","","380418","species","Corvus albicollis","39446","65172","extant","1"
"370944","370944","txn","","","Corvus pumilis","","370944","species","Corvus pumilis","39446","92461","extinct","2"
"369302","369302","txn","","","Corvus albus","","369302","species","Corvus albus","39446","65172","extant","5"
"379181","379181","txn","","","Corvus frugilegus","","379181","species","Corvus frugilegus","39446","12782","extant","2"
"365952","365952","txn","","","Corvus corone","","365952","species","Corvus corone","39446","12782","extant","19"
"335555","335555","txn","","","Corvus annectens","","335555","species","Corvus annectens","39446","57864","extinct","1"
"372351","372351","txn","","","Corvus palmarum","","372351","species","Corvus palmarum","39446","65172","extant","3"
"133788","133788","txn","","","Corvus corax","","133788","species","Corvus corax","39446","12782","extant","67"
"94501","94501","txn","","","Pyrrhocorax","","94501","genus","Pyrrhocorax","39445","19913","extant","85"
"370948","370948","txn","","","Pyrrhocorax primigenius","","370948","species","Pyrrhocorax primigenius","94501","65508","extinct","0"
"365954","365955","txn","","","Pyrrhocorax pyrrhocorax","","365954","species","Pyrrhocorax pyrrhocorax","94501","12782","extant","21"
"94502","365957","txn","","","Pyrrhocorax graculus","","94502","species","Pyrrhocorax graculus","94501","64663","extant","42"
"414897","414897","txn","","","Garrulinae","","414897","subfamily","Garrulinae","39445","31036","extant","0"
"369233","369233","txn","","","Nucifraga","","369233","genus","Nucifraga","39445","65172","extant","4"
"369234","369235","txn","","","Nucifraga columbiana","","369234","species","Nucifraga columbiana","369233","65172","extant","2"
"379184","379185","txn","","","Nucifraga caryocatactes","","379184","species","Nucifraga caryocatactes","369233","12782","extant","2"
"414901","414901","txn","","","Corvinae","","414901","subfamily","Corvinae","39445","31036","extant","0"
"414904","414904","txn","","","Cyanocephalus","","414904","genus","Cyanocephalus","414901","31036","extant","0"
"129836","129836","txn","","","Cyanocitta","","129836","genus","Cyanocitta","39445","27720","extant","15"
"369169","369170","txn","","","Cyanocitta stelleri","","369169","species","Cyanocitta stelleri","129836","65172","extant","5"
"129837","368166","txn","","","Cyanocitta cristata","","129837","species","Cyanocitta cristata","129836","12782","extant","9"
"39447","39447","txn","","","Miocitta","","39447","genus","Miocitta","39445","25097","extinct","1"
"105677","105677","txn","","","Miocitta galbreathi","","105677","species","Miocitta galbreathi","39447","25097","extinct","1"
"289508","289508","txn","","","Aphelocoma","","289508","genus","Aphelocoma","39445","50310","extant","13"
"368477","368478","txn","","","Aphelocoma californica","","368477","species","Aphelocoma californica","289508","65172","extant","5"
"416907","416907","txn","","","Aphelocoma ultramarina","","416907","species","Aphelocoma ultramarina","289508","72122","extant","0"
"428663","428663","txn","","","Aphelocoma insularis","","428663","species","Aphelocoma insularis","289508","65172","extant","2"
"414898","414898","txn","","","Aphelocoma (Aphelocoma)","","414898","subgenus","Aphelocoma (Aphelocoma)","289508","31036","extant","0"
"289509","368165","txn","","","Aphelocoma coerulescens","","289509","species","Aphelocoma coerulescens","289508","65172","extant","5"
"430359","430359","txn","","","Miocorvus","","430359","genus","Miocorvus","39445","58139","extinct","0"
"369848","369848","txn","","","Miocorax","replaced by","430359","genus","Miocorvus","39445","65508","extinct","0"
"370939","430360","txn","","","Miocorvus larteti","","370939","species","Miocorvus larteti","430359","58139","extinct","0"
"105678","105678","txn","","","Protocitta","","105678","genus","Protocitta","39445","50469","extinct","4"
"290115","290115","txn","","","Protocitta dixi","","290115","species","Protocitta dixi","105678","50469","extinct","3"
"105679","105679","txn","","","Protocitta ajax","","105679","species","Protocitta ajax","105678","25097","extinct","1"
"158467","158467","txn","","","Zosteropidae","","158467","family","Zosteropidae","39441","31261","extant","27"
"158466","158466","txn","","","Zosterops","","158466","genus","Zosterops","158467","31261","extant","18"
"371724","371725","txn","","","Zosterops chloronothos","","371724","species","Zosterops chloronothos","158466","65172","extant","2"
"372734","372735","txn","","","Zosterops maderaspatanus","","372734","species","Zosterops maderaspatanus","158466","65172","extant","1"
"222293","222293","txn","","","Zosterops abyssinicus","","222293","species","Zosterops abyssinicus","158466","88092","extant","2"
"373140","373141","txn","","","Zosterops montanus","","373140","species","Zosterops montanus","158466","65172","extant","1"
"372585","372586","txn","","","Zosterops conspicillatus","","372585","species","Zosterops conspicillatus","158466","65172","extant","9"
"371726","371727","txn","","","Zosterops mauritianus","","371726","species","Zosterops mauritianus","158466","65172","extant","2"
"372599","372599","txn","","","Cleptornis","","372599","genus","Cleptornis","158467","65172","extant","3"
"372602","372603","txn","","","Cleptornis marchei","","372602","species","Cleptornis marchei","372599","65172","extant","3"
"415935","415935","txn","","","Thamnophilidae","","415935","family","Thamnophilidae","39441","72122","extant","0"
"415934","415934","txn","","","Thamnophilinae","","415934","subfamily","Thamnophilinae","415935","72122","extant","0"
"415933","415933","txn","","","Thamnophilini","","415933","tribe","Thamnophilini","415934","72122","extant","0"
"415932","415932","txn","","","Thamnophilus","","415932","genus","Thamnophilus","415933","72122","extant","0"
"415936","415936","txn","","","Thamnophilus ruficapillus","","415936","species","Thamnophilus ruficapillus","415932","72122","extant","0"
"369385","369385","txn","","","Estrildidae","","369385","family","Estrildidae","39441","65172","extant","7"
"372598","372598","txn","","","Erythrura","","372598","genus","Erythrura","369385","65172","extant","4"
"373366","373366","txn","","","Taeniopygia","","373366","genus","Taeniopygia","369385","65172","extant","0"
"373365","373367","txn","","","Taeniopygia guttata","","373365","species","Taeniopygia guttata","373366","65172","extant","0"
"373374","373374","txn","","","Poephila","","373374","genus","Poephila","369385","65172","extant","0"
"368920","368920","txn","","","Motacillidae","","368920","family","Motacillidae","39441","65172","extant","46"
"368919","368919","txn","","","Anthus","","368919","genus","Anthus","368920","65172","extant","30"
"369261","369262","txn","","","Anthus trivialis","","369261","species","Anthus trivialis","368919","12782","extant","3"
"370955","370955","txn","","","Anthus bosniaskii","","370955","species","Anthus bosniaskii","368919","65508","extinct","0"
"430431","430432","txn","","","Anthus cervinus","","430431","species","Anthus cervinus","368919","58139","extant","0"
"372563","372563","txn","","","Anthus correndera","","372563","species","Anthus correndera","368919","65172","extant","1"
"368918","368921","txn","","","Anthus pratensis","","368918","species","Anthus pratensis","368919","12782","extant","5"
"372522","372523","txn","","","Anthus novaeseelandiae","","372522","species","Anthus novaeseelandiae","368919","65172","extant","11"
"370612","370612","txn","","","Anthus gustavi","","370612","species","Anthus gustavi","368919","65172","extant","2"
"430428","430430","txn","","","Anthus campestris","","430428","species","Anthus campestris","368919","58139","extant","0"
"369290","369291","txn","","","Anthus spinoletta","","369290","species","Anthus spinoletta","368919","12782","extant","3"
"83785","83785","txn","","","Motacillinae","","83785","subfamily","Motacillinae","368920","17632","extant","1"
"368922","368922","txn","","","Motacilla","","368922","genus","Motacilla","368920","12782","extant","10"
"370951","370951","txn","","","Motacilla humata","","370951","species","Motacilla humata","368922","65508","extinct","0"
"369333","369333","txn","","","Motacilla flava","","369333","species","Motacilla flava","368922","12782","extant","1"
"369352","369352","txn","","","Motacilla cinerea","","369352","species","Motacilla cinerea","368922","65172","extant","1"
"370952","370952","txn","","","Motacilla major","","370952","species","Motacilla major","368922","65508","extinct","0"
"369353","369353","txn","","","Motacilla alba","","369353","species","Motacilla alba","368922","12782","extant","4"
"372057","372057","txn","","","Dulidae","","372057","family","Dulidae","39441","65172","extant","2"
"372056","372056","txn","","","Dulus","","372056","genus","Dulus","372057","65172","extant","2"
"372058","372059","txn","","","Dulus dominicus","","372058","species","Dulus dominicus","372056","65172","extant","2"
"376958","376958","txn","","","Winnicavis","","376958","genus","Winnicavis","39441","66861","extinct","1"
"376959","376959","txn","","","Winnicavis gorskii","","376959","species","Winnicavis gorskii","376958","66861","extinct","1"
"368377","368378","txn","","","Dasyornithidae","","368377","family","Dasyornithidae","39441","65172","extant","4"
"255522","255522","txn","","","Dasyornis","","255522","genus","Dasyornis","368377","44314","extant","4"
"373441","373441","txn","","","Dasyornis longirostris","","373441","species","Dasyornis longirostris","255522","65172","extant","1"
"255523","368135","txn","","","Dasyornis brachypterus","","255523","species","Dasyornis brachypterus","255522","44314","extant","1"
"430862","430862","txn","","","Dasyornis walterbolesi","","430862","species","Dasyornis walterbolesi","255522","74750","extinct","0"
"255524","368137","txn","","","Dasyornis broadbenti","","255524","species","Dasyornis broadbenti","255522","65172","extant","2"
